index,nombre,sector,precio,area,habitaciones,banos,parqueadero,codigoSector,acabados,tipoAcabados
6137,La Casa en La Que Siempre Quisiste Vivir en Venta San Patricio,Cumbayá,215000,232,3,2,2.0,14,180,1
6138,"Se Vende o Alquila, Grande y Elegante Casa en Sector El Batan Alto",El Batán,480000,630,5,4,0.0,2,480,2
6145,Casa - San Carlos,San Carlos,175000,165,3,4,2.0,4,148,1
6153,"Cumbayá, Casa en Venta de 3 Plantas, Cerca del Rancho San Francisco",Cumbayá,230000,299,3,3,2.0,14,195,1
6156,Cumbaya Sector Colegio Se Vende Casa Dentro de Urbanización de Lujo,Cumbayá,1050000,647,4,4,4.0,14,981,3
6159,"Hermosa, Excelentes Acabados,",Cumbayá,364000,271,3,3,2.0,14,329,2
6161,"En Venta Ultimas Casas en Planos, Urbanizacion Rivoli - Puembo",Puembo,338000,250,0,0,0.0,13,338,2
6164,"Espectacular Casa de Venta Cumbayá 4 Habitaciones, Jardín Urb. Privada",Cumbayá,380000,620,4,5,5.0,14,293,1
6166,Vendo Casa de Lujo en Cumbayá.,Cumbayá,1400000,1399,4,6,0.0,14,1400,3
6168,Venta Casa Carcelen,Carcelén,120000,139,3,2,1.0,9,109,1
6172,Vs Venta Preciosa Casa Sector Santa Lucia Cumbaya Cerca del Área Financiera y Uní San Francisco,Cumbayá,445000,400,3,3,4.0,14,376,2
6173,Casa Comercial Sector Av Machala! Casa o Local,San Carlos,124900,150,4,2,2.0,4,98,1
6177,Casa - Cumbayá,Cumbayá,345000,305,3,2,2.0,14,310,2
6185,Venta Casa 250 m² Cumbayá,Cumbayá,320000,350,3,3,2.0,14,285,1
6191,- Vendo - Casa - Cumbaya - Sector - Colegio - Aleman - Lumbisi - $320.00 - Acceso - Ruta - Viva,Cumbayá,320000,585,3,3,2.0,14,285,1
6193,Vendo Modernas y Amplias Casas en Sto. Domingo de Carretas Carcelen,Carcelén,112999,127,3,2,1.0,9,102,1
6195,"Excelente Casa Esquinera con Vista Panoramica, 270 m², 4 Dorm. Cumbayá",Cumbayá,342000,326,4,3,2.0,14,307,2
6196,Casa en Venta por Estrenar en Cumbayá,Cumbayá,325000,250,3,3,2.0,14,290,1
6199,"Vendo Hermosa Casa, La Primavera, 800 m. Jardin, Arboles, 4dorm. Garaje 6 Autos",Cumbayá,495000,880,4,4,6.0,14,391,2
6208,Muy Buena Casa de Venta Ubicada en Una de Las Mejores Zonas de Cumbayá,Cumbayá,299900,204,3,3,2.0,14,265,1
6211,Vendo Casa en Cumbaya Sector del Reservorio,Cumbayá,625000,700,5,4,3.0,14,573,2
6213,Casa Venta Cumbaya La Comarca,Cumbayá,290000,265,3,3,2.0,14,255,1
6215,Bonita Casa Moderna Dentro de Conjunto en Tumbaco,Cumbayá,238000,230,3,2,2.0,14,203,1
6221,"Moderna, Amplia, Luminosa con Jardín y Dentro de Conjunto con Seguridad 24 Horas",Cumbayá,340000,282,3,4,3.0,14,288,1
6230,Hermosa Casa de Lujo en Puembo,Puembo,680000,600,4,4,6.0,13,584,2
6233,"Vendo Casa de 3 Habitaciones en Cumbaya, por Estrenar",Cumbayá,254000,248,3,3,4.0,14,185,1
6236,"Venta Casa 3 Dorm., Conjunto Privado, La Primavera II, Cumbayá",Cumbayá,210000,170,3,2,2.0,14,175,1
6237,"Cumbaya, Excelente Ubicación, Casa 4 Dorm, Estudio, Jardín",Cumbayá,490000,670,4,3,3.0,14,438,2
6241,"Cumbaya, La Primavera 2, Hermosa y Amplia Casa, Totalmente Independiente",Cumbayá,375000,512,3,2,3.0,14,323,2
6244,Casa en Venta de 374 m² en Urbanizacion Zaragoza,Cumbayá,350000,550,5,5,2.0,14,315,2
6253,Vendo Casas por Estrenar en Cumbaya,Cumbayá,380000,280,3,4,2.0,14,345,2
6255,Venta de Casa en Conjunto Sector Santa Ines,Cumbayá,360000,519,4,4,2.0,14,325,2
6269,Hermosa Casa en Venta en Urbanizacion Sector La Primavera,Cumbayá,745000,700,4,4,2.0,14,710,2
6271,"Vendo Casa Cumbaya Conjunto 13 Casas, Cerca Colegio Menor Adosada 193 m Total.",Cumbayá,250000,193,3,3,2.0,14,215,1
6276,Venta Casa Independiente Sector Ponceano.,Ponceano,243000,417,7,5,2.0,7,219,1
6284,"Casa de Venta en Puembo, Cerca Colegio Highlands",Puembo,395000,500,3,4,2.0,13,363,2
6287,"Casa en Venta, Sector Colegio Menor Cumbaya",Cumbayá,345000,400,3,2,2.0,14,310,2
6289,Se Vende Hermosa Casa a Estrenar en Cumbaya,Cumbayá,650000,600,4,4,4.0,14,581,2
6298,Casa - Cumbayá,Cumbayá,224000,151,3,4,2.0,14,189,1
6306,"Espectacular Casa en Cumbaya, Cerca Al Parque - Sin Acabados",Cumbayá,500000,800,5,3,0.0,14,500,2
6308,Re/max Asesoria Inmobiliaria Vende Exclusiva Casa en Conjunto - Tumbaco,Cumbayá,260000,278,3,3,2.0,14,225,1
6310,Inmobusiness Vende Departamento de Lujo Para Estrenar Sector Gonzalez Suarez,González Suárez,154050,77,2,2,2.0,11,115,1
6319,Remax Ai Vende Casa en Carcelén Dentro de Urbanización,Carcelén,110000,157,3,2,1.0,9,99,1
6320,"La Primavera, Hermosa Casa en Conjunto - a 3 Minutos de La Ruta Viva",Cumbayá,230000,280,3,3,2.0,14,195,1
6322,Venta Hermosa Casa Sector Puembo,Puembo,1349000,700,3,4,5.0,13,1269,3
6323,Se Vende Casa Independiente Sector Ponceano,Ponceano,180000,247,6,4,3.0,7,144,1
6327,Casa en Conjunto Residencial Sector Colegio Einstein - Carcelén,Carcelén,100000,120,3,2,1.0,9,89,1
6332,Ao Venta Casa 3 Dorm. Cumbaya,Cumbayá,349900,379,3,2,2.0,14,315,2
6339,"Vendo Casa Amplia en Vista Grande con Jardines, Sector Miravalle3 Dorm.",Cumbayá,398000,473,3,4,4.0,14,329,2
6344,Casa a Estrenar 3 Habitaciones San Juan de Cumbayá,Cumbayá,230000,299,3,3,2.0,14,195,1
6345,"Venta Linda Casa 3 Dorm., Conjunto Privado, Sector Santa Inés, Cumbayá",Cumbayá,229500,235,3,3,2.0,14,195,1
6346,Oportunidad Casa en Venta Independiente $129.000 Sector Ponceano,Ponceano,129000,238,4,2,2.0,7,105,1
6347,"Casa en Venta, Cumbayá, a Tres Cuadras del Colegio Menor 245.000usd!",Cumbayá,245000,382,3,2,2.0,14,210,1
6351,Venta Casa Sector San Juan Cumbaya.,Cumbayá,250000,330,3,2,3.0,14,198,1
6356,"Venta Linda Casa, Amplia Independiente Sector Quito Tenis",Quito Tenis,359000,255,3,3,2.0,12,331,2
6359,Vendo Linda Casa en Menesses Pallares en Cumbaya,Cumbayá,215000,300,3,3,2.0,14,180,1
6366,Casa de Venta Dentro de San Antonio de La Viña,Cumbayá,1250000,1060,6,10,6.0,14,1146,3
6367,Venta Hermosa Casa en Cumbaya,Cumbayá,218000,290,3,3,3.0,14,166,1
6370,Casa Dentro de Conjunto Sector Carcelen Frente a Yanbal,Carcelén,75000,170,4,3,1.0,9,64,1
6373,Vendo Casa Espaciosa en Quito Tennis 1094 m²,Quito Tenis,690000,1094,8,7,7.0,12,591,2
6386,Casa - Cumbayá,Cumbayá,225000,235,3,4,2.0,14,190,1
6391,Casa Rentera Sector La Ofelia,Ponceano,143000,365,10,6,1.0,7,131,1
6392,Ao Venta Casa 3 D Sector San Juan Alto - Cumbaya,Cumbayá,220000,296,3,3,2.0,14,185,1
6398,"Venta Casa Sector Col Einstein: 4 Habs, 5 Baños, Hidro, 2 Parq, 325 m². $198.000",Carcelén,198000,325,4,4,2.0,9,175,1
6403,Re/max Futuro Vende Hermosa Casa de 400 m² con Jardin de 450 m² Cumbaya,Cumbayá,490000,670,4,3,3.0,14,438,2
6412,Vendo Casa en Carcelen 131 m² Amplio Patio,Carcelén,79000,131,3,2,1.0,9,68,1
6416,Casa - Ponceano,Ponceano,105000,185,3,2,2.0,7,81,1
6417,Hermosa Casa de 4 Dorm. + 1 Suite en 1 Planta en Urb. Jacarandá - Cumbayá,Cumbayá,1200000,1413,6,5,6.0,14,1096,3
6419,Venta de Suite en El Sector de Ponceano Alto,Ponceano,69000,70,1,1,1.0,7,57,1
6426,Vendo Hermosa Casa 4 Dorm.,Cumbayá,385000,315,4,3,2.0,14,350,2
6434,"Diseño Minimalista Urbanización 4 Habitaciones, con Piscina Amplio Terreno",Cumbayá,850000,450,4,4,4.0,14,781,2
6438,Vendo Casa de Oportunidad Ponceano Alto,Ponceano,120000,192,4,1,2.0,7,96,1
6439,Venta Casa 299 m² por Estrenar Más Área Verde. Sector Puembo,Puembo,374490,379,3,3,2.0,13,343,2
6445,Vendo Casa Independiente en La Primavera Cumbayá,Cumbayá,287000,453,5,4,2.0,14,252,1
6461,Casa 3 Dorm. Sector Colegio Menor,Cumbayá,229000,234,3,3,2.0,14,194,1
6474,Hermosa y Comoda Casa de Venta en San Juan Alto,Cumbayá,240000,336,3,2,2.0,14,205,1
6475,Casa - Carcelén,Carcelén,125000,180,3,3,1.0,9,114,1
6482,De Venta Acogedora Casa Lista Para Habitar en Camino de Los Eucaliptos,Carcelén,105000,207,3,2,3.0,9,71,1
6483,Casa en Venta Sector Estrategico Al Norte de Quito,Carcelén,88800,116,3,2,1.0,9,77,1
6486,"Venta Departamento con Excelente Vista, 3 Dorm., Sector Gonzalez Suarez",González Suárez,340000,271,3,3,3.0,11,282,1
6488,Casa con Patio y Terraza Sector Ponciano - Carcelén Industrial,Ponceano,89000,175,3,2,1.0,7,77,1
6489,Venta Hermosa Casa Urb Tumbaco Cumbaya,Cumbayá,395000,375,4,4,3.0,14,343,2
6496,Casas en Puembo Crédito Vip 4.87% Reserva con Usd 500,Carcelén,73400,126,3,1,1.0,9,62,1
6507,Casa de Venta en Conjunto Cerrado Sector La Viña,Cumbayá,360000,350,4,3,3.0,14,308,2
6513,En Venta Elegante y Moderna Casa en Cumbaya,Cumbayá,168000,125,3,2,2.0,14,133,1
6515,Casa en Venta La Primavera Sobre Vía Principal Ideal Para Negocio,Cumbayá,350000,632,10,6,0.0,14,350,2
6518,Inmobusiness Vende Casa en San Juan de Cumbaya,Cumbayá,245000,116,3,2,2.0,14,210,1
6520,"Cumbayá, Amoblada, Casa en Conjunto Privado, 3 Dorm., $900 Más Condominio",Cumbayá,210000,220,3,2,2.0,14,175,1
6521,Vendo Casa Cumbaya (La Vieja Hacienda),Cumbayá,1100000,1112,4,4,4.0,14,1031,3
6532,Vendo Casa en Urbanización Privada Uraba,Carcelén,140000,304,3,2,2.0,9,117,1
6536,"Rancho San Francisco, Casa de Venta",Cumbayá,1500000,1000,4,5,6.0,14,1396,3
6538,"Casa de Venta Ubicada Dentro de Conjunto en San Juan Alto, Cumbaya",Cumbayá,225000,184,3,2,2.0,14,190,1
6541,Vendo Casa Cumbaya,Cumbayá,209000,198,3,3,2.0,14,174,1
6547,Hermosa Casa de Venta en La Viña Dentro de Conjunto,Cumbayá,425000,495,3,3,2.0,14,390,2
6557,Casa Lumbisi,Cumbayá,167500,188,3,2,2.0,14,133,1
6559,Linda Casa Venta Puembo,Puembo,260000,412,3,3,2.0,13,228,1
6563,"Casa de Lujo en Venta 373 m², 133 m² Const. Abierta, Terreno 486 m² Uraba II",Carcelén,275000,506,3,4,2.0,9,252,1
6567,Renta de Amplia Casa a Desnivel - Carcelén,Carcelén,180000,565,3,2,1.0,9,169,1
6568,Lujosa Casa de Venta Cumbaya en Exclusiva Urbanizacion,Cumbayá,1500000,1100,4,4,4.0,14,1431,3
6570,Se Vende Casa con Departamento en Cumbayá Cerca a La Usfq,Cumbayá,680000,690,4,6,5.0,14,593,2
6571,Vendo Casa Al Norte de Quito Sector El Condado.,Carcelén,129990,213,4,3,2.0,9,107,1
6572,Casa de Venta Dentro de La Urbanización La Viña. Oportunidad,Cumbayá,405000,318,3,3,3.0,14,353,2
6577,"Venta Casa en Cumbayá Sector Colegio Alemán, por Estrenar 2 Dorm., Estudio, Terraza con Vista",Cumbayá,220100,296,2,2,2.0,14,185,1
6579,Se Vende Casa Independiente Sector Carcelen,Carcelén,89900,172,4,2,1.0,9,79,1
6581,Vendo Amplia Casa Sector Santa Lucia Quito Conjunto con Piscina,Ponceano,165000,226,3,2,2.0,7,141,1
6582,Casa - Carcelén,Carcelén,105000,172,4,3,1.0,9,94,1
6587,Casa - Cumbayá,Cumbayá,325000,250,3,3,2.0,14,290,1
6590,Casa de Venta Intervalles Tumbaco,Cumbayá,250000,278,3,3,2.0,14,215,1
6594,$299.000 Oportunidad Cumbaya Excelente Amplio Jardin,Cumbayá,299000,509,3,3,2.0,14,264,1
6596,"Casa de Venta en Cumbayá Sector Vista Grande, 3 Dorms con Baño C/u, Amplio Jardín, Urbanización Cerr",Cumbayá,400000,401,3,3,0.0,14,400,2
6599,"La Viña, Casa con Terreno Grande en Venta, 350 m²",Cumbayá,730000,590,3,3,0.0,14,730,2
6600,"Venta Casa en Puembo, Urbanización Cerrada, Jardin, por Estrenar, 3 Dorm..",Puembo,270000,200,3,3,2.0,13,238,1
6602,En Venta Casas por Estrenar en Conjunto Exclusivo Cumbayá,Cumbayá,299800,473,3,3,2.0,14,265,1
6605,"Vendo Casa Tenis Bajo, 493 m Terreno 373 de Construccion $200.000",Quito Tenis,220000,493,3,4,3.0,12,178,1
6609,Casa en Venta por Estrenar en Lumbisi,Cumbayá,325000,295,3,4,2.0,14,290,1
6614,Hermosa Casa de Venta en Cumbaya,Cumbayá,275000,250,3,2,2.0,14,240,1
6615,"Oportunidad Casa Amplia 184 m a 4 Minutos de Ponceano, Cerca Terminal",Ponceano,129,230,4,4,2.0,7,-24,1
6616,Hermosa Casa en Sector Industrial y Comercial en Carcelen,Carcelén,129000,225,3,4,2.0,9,106,1
